Nombre
Sami
Killari
Yanay
Killa
Unay
Asiri
Samin
Sayri
Sulay
Yuriana
Sisa
Sacha
Sayani
Kusi
Nuna
Antay
Illa
Wari
Inka
Yaku
Wayra
Shaya
Haylli
Tupac
Maywa
Wara
Qori
Raymi
Rumi
Hakan
Yuria
Sariri
Katari
Sinchi
Pachacutec
Takiri
Killay
Chuki
Willka
Qhari
Puquy
Chami
Wayna
Izayana
Urpillay
Waylla
Suyana
Kuka
Nayaraq
Tawa
